ExerciseDuration,Date
00:05:40,05/02/2018
00:05:40,05/03/2018
00:06:40,05/04/2018
00:04:40,05/05/2018
00:04:40,05/06/2018
00:04:20,05/06/2018
00:04:10,05/07/2018
00:03:22,05/08/2018
00:03:48,05/09/2018
00:03:30,05/10/2018
00:03:20,05/11/2018
00:04:48,05/12/2018
00:03:48,05/13/2018
00:02:48,05/14/2018
00:02:28,05/15/2018
00:02:48,05/16/2018
00:02:48,05/17/2018
00:01:48,05/18/2018
00:01:48,05/19/2018
00:00:20.7674066,6/6/2018
00:00:05.9681041,6/6/2018
00:00:03.4625922,6/6/2018
00:00:11.7938786,6/6/2018
00:00:14.3373703,6/6/2018
00:00:02.4485594,6/6/2018
00:00:05.6955028,6/6/2018
00:00:05.4509112,6/6/2018
00:00:05.2601532,6/6/2018
00:00:10.4747337,6/6/2018
00:00:16.2874187,6/6/2018
00:00:01.8345467,6/6/2018
