ExerciseDuration,Date
00:00:40,05/02/2018
00:00:40,05/03/2018
00:00:42,05/04/2018
00:00:41,05/05/2018
00:00:45,05/06/2018
00:00:40,05/06/2018
00:00:41,05/07/2018
00:00:43,05/08/2018
00:00:45,05/09/2018
00:00:42,05/10/2018
00:00:42,05/11/2018
00:00:42,05/12/2018
00:00:42,05/13/2018
00:00:43,05/14/2018
00:00:43,05/15/2018
00:00:44,05/16/2018
00:00:45,05/17/2018
00:00:44,05/18/2018
00:00:42,05/19/2018
00:00:00.7837642,6/6/2018
00:00:16.3671747,6/6/2018
00:00:10.5021173,6/6/2018
00:00:12.5168210,6/6/2018
00:00:11.6299159,6/6/2018
00:00:09.4655785,6/6/2018
00:00:09.7616258,6/6/2018
00:00:09.3962019,6/6/2018
00:00:05.4024357,6/6/2018
